step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
1,rs_N4,resource,4,0.5,0,2,2,1,0.0,2.0,2.0,1.0,0.8333,1.5,1.5,1.1667,0.995,0.995,0.995,0.995,7,5.0,0,,,5,7
2,rs_N4,resource,4,0.5,0,1,0,1,0.0,1.0,0.0,1.0,0.3333,0.6667,0.3333,0.6667,0.99,0.99,0.99,0.99,7,2.0,1,,,2,7
3,rs_N4,resource,4,0.5,2,2,0,0,2.0,2.0,0.0,0.0,1.3333,1.3333,0.6667,0.6667,0.9851,0.9851,0.9851,0.9851,5,4.0,1,,,4,5
4,rs_N4,resource,4,0.5,2,1,0,0,2.0,1.0,0.0,0.0,1.1667,0.8333,0.5,0.5,0.9801,0.9801,0.9801,0.9801,4,3.0,1,,,3,4
5,rs_N4,resource,4,0.5,0,2,0,0,0.0,2.0,0.0,0.0,0.3333,1.0,0.3333,0.3333,0.9752,0.9752,0.9752,0.9752,4,2.0,1,,,2,4
6,rs_N4,resource,4,0.5,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9704,0.9704,0.9704,0.9704,1,-2.0,0,,,5,1
7,rs_N4,resource,4,0.5,0,2,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9655,0.9655,0.9655,0.9655,0,-2.0,0,,,5,0
8,rs_N4,resource,4,0.5,2,2,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9607,0.9607,0.9607,0.9607,0,-2.0,0,,,6,0
9,rs_N4,resource,4,0.5,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9559,0.9559,0.9559,0.9559,0,-2.0,0,,,5,0
10,rs_N4,resource,4,0.5,2,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9511,0.9511,0.9511,0.9511,0,-2.0,0,,,5,0
11,rs_N4,resource,4,0.5,0,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9464,0.9464,0.9464,0.9464,0,-2.0,1,,,3,0
12,rs_N4,resource,4,0.5,1,0,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9416,0.9416,0.9416,0.9416,0,-2.0,1,,,3,0
13,rs_N4,resource,4,0.5,0,1,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9369,0.9369,0.9369,0.9369,0,-2.0,1,,,3,0
14,rs_N4,resource,4,0.5,0,1,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9322,0.9322,0.9322,0.9322,0,-2.0,1,,,3,0
15,rs_N4,resource,4,0.5,1,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9276,0.9276,0.9276,0.9276,0,-2.0,0,,,7,0
16,rs_N4,resource,4,0.5,0,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9229,0.9229,0.9229,0.9229,1,-2.0,1,,,1,1
17,rs_N4,resource,4,0.5,2,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9183,0.9183,0.9183,0.9183,0,-2.0,1,,,3,0
18,rs_N4,resource,4,0.5,1,0,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9137,0.9137,0.9137,0.9137,0,-2.0,1,,,3,0
