episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,0.5,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.7222,2.7222,2.7222,2.8333,0.995,0.995,0.995,0.995,11.0,0,,
2,0.5,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.7778,2.2222,1.7778,2.2222,0.99,0.99,0.99,0.99,8.0,0,,
3,0.5,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9851,0.9851,0.9851,0.9851,16.0,1,,
4,0.5,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.7222,2.8333,2.7222,2.7222,0.9801,0.9801,0.9801,0.9801,11.0,0,,
5,0.5,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.7778,2.2222,2.2222,1.7778,0.9752,0.9752,0.9752,0.9752,8.0,0,,
6,0.5,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.7778,2.2222,2.2222,1.7778,0.9704,0.9704,0.9704,0.9704,8.0,0,,
7,0.5,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7222,2.7222,2.8333,2.7222,0.9655,0.9655,0.9655,0.9655,11.0,0,,
8,0.5,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.2222,1.7778,2.2222,1.7778,0.9607,0.9607,0.9607,0.9607,8.0,0,,
9,0.5,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.2222,1.7778,1.7778,2.2222,0.9559,0.9559,0.9559,0.9559,8.0,0,,
10,0.5,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.7778,2.2222,1.7778,2.2222,0.9511,0.9511,0.9511,0.9511,8.0,0,,
11,0.5,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.7778,2.2222,2.2222,1.7778,0.9464,0.9464,0.9464,0.9464,8.0,0,,
12,0.5,H,H,H,S,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.9416,0.9416,0.9416,0.9416,7.0,0,,
13,0.5,S,H,H,H,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.9369,0.9369,0.9369,0.9369,7.0,0,,
14,0.5,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.7778,1.7778,2.2222,2.2222,0.9322,0.9322,0.9322,0.9322,8.0,0,,
15,0.5,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7222,2.7222,2.8333,2.7222,0.9276,0.9276,0.9276,0.9276,11.0,0,,
16,0.5,H,H,S,H,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.9229,0.9229,0.9229,0.9229,7.0,0,,
17,0.5,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.2222,1.7778,1.7778,2.2222,0.9183,0.9183,0.9183,0.9183,8.0,0,,
18,0.5,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.2222,1.7778,1.7778,2.2222,0.9137,0.9137,0.9137,0.9137,8.0,0,,
