episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,0.2,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.7556,2.7556,2.7556,2.7333,0.995,0.995,0.995,0.995,11.0,0,,
2,0.2,S,H,S,H,1.3333,2.6667,1.3333,2.6667,2.0444,1.9556,2.0444,1.9556,0.99,0.99,0.99,0.99,8.0,0,,
3,0.2,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.9851,0.9851,0.9851,0.9851,16.0,1,,
4,0.2,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.7556,2.7333,2.7556,2.7556,0.9801,0.9801,0.9801,0.9801,11.0,0,,
5,0.2,S,H,H,S,1.3333,2.6667,2.6667,1.3333,2.0444,1.9556,1.9556,2.0444,0.9752,0.9752,0.9752,0.9752,8.0,0,,
6,0.2,S,H,H,S,1.3333,2.6667,2.6667,1.3333,2.0444,1.9556,1.9556,2.0444,0.9704,0.9704,0.9704,0.9704,8.0,0,,
7,0.2,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7556,2.7556,2.7333,2.7556,0.9655,0.9655,0.9655,0.9655,11.0,0,,
8,0.2,H,S,H,S,2.6667,1.3333,2.6667,1.3333,1.9556,2.0444,1.9556,2.0444,0.9607,0.9607,0.9607,0.9607,8.0,0,,
9,0.2,H,S,S,H,2.6667,1.3333,1.3333,2.6667,1.9556,2.0444,2.0444,1.9556,0.9559,0.9559,0.9559,0.9559,8.0,0,,
10,0.2,S,H,S,H,1.3333,2.6667,1.3333,2.6667,2.0444,1.9556,2.0444,1.9556,0.9511,0.9511,0.9511,0.9511,8.0,0,,
11,0.2,S,H,H,S,1.3333,2.6667,2.6667,1.3333,2.0444,1.9556,1.9556,2.0444,0.9464,0.9464,0.9464,0.9464,8.0,0,,
12,0.2,H,H,H,S,2.3333,2.3333,2.3333,0.0,1.7111,1.7111,1.7111,1.8667,0.9416,0.9416,0.9416,0.9416,7.0,0,,
13,0.2,S,H,H,H,0.0,2.3333,2.3333,2.3333,1.8667,1.7111,1.7111,1.7111,0.9369,0.9369,0.9369,0.9369,7.0,0,,
14,0.2,S,S,H,H,1.3333,1.3333,2.6667,2.6667,2.0444,2.0444,1.9556,1.9556,0.9322,0.9322,0.9322,0.9322,8.0,0,,
15,0.2,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7556,2.7556,2.7333,2.7556,0.9276,0.9276,0.9276,0.9276,11.0,0,,
16,0.2,H,H,S,H,2.3333,2.3333,0.0,2.3333,1.7111,1.7111,1.8667,1.7111,0.9229,0.9229,0.9229,0.9229,7.0,0,,
17,0.2,H,S,S,H,2.6667,1.3333,1.3333,2.6667,1.9556,2.0444,2.0444,1.9556,0.9183,0.9183,0.9183,0.9183,8.0,0,,
18,0.2,H,S,S,H,2.6667,1.3333,1.3333,2.6667,1.9556,2.0444,2.0444,1.9556,0.9137,0.9137,0.9137,0.9137,8.0,0,,
19,0.2,H,H,H,S,2.3333,2.3333,2.3333,0.0,1.7111,1.7111,1.7111,1.8667,0.9092,0.9092,0.9092,0.9092,7.0,0,,
20,0.2,H,S,H,H,2.3333,0.0,2.3333,2.3333,1.7111,1.8667,1.7111,1.7111,0.9046,0.9046,0.9046,0.9046,7.0,0,,
21,0.2,H,H,H,S,2.3333,2.3333,2.3333,0.0,1.7111,1.7111,1.7111,1.8667,0.9001,0.9001,0.9001,0.9001,7.0,0,,
22,0.2,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.7556,2.7333,2.7556,2.7556,0.8956,0.8956,0.8956,0.8956,11.0,0,,
23,0.2,S,H,H,H,0.0,2.3333,2.3333,2.3333,1.8667,1.7111,1.7111,1.7111,0.8911,0.8911,0.8911,0.8911,7.0,0,,
24,0.2,S,S,H,H,1.3333,1.3333,2.6667,2.6667,2.0444,2.0444,1.9556,1.9556,0.8867,0.8867,0.8867,0.8867,8.0,0,,
25,0.2,S,S,H,H,1.3333,1.3333,2.6667,2.6667,2.0444,2.0444,1.9556,1.9556,0.8822,0.8822,0.8822,0.8822,8.0,0,,
26,0.2,H,H,S,H,2.3333,2.3333,0.0,2.3333,1.7111,1.7111,1.8667,1.7111,0.8778,0.8778,0.8778,0.8778,7.0,0,,
27,0.2,H,S,S,H,2.6667,1.3333,1.3333,2.6667,1.9556,2.0444,2.0444,1.9556,0.8734,0.8734,0.8734,0.8734,8.0,0,,
28,0.2,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.7333,2.7556,2.7556,2.7556,0.8691,0.8691,0.8691,0.8691,11.0,0,,
29,0.2,H,S,H,H,2.3333,0.0,2.3333,2.3333,1.7111,1.8667,1.7111,1.7111,0.8647,0.8647,0.8647,0.8647,7.0,0,,
30,0.2,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7556,2.7556,2.7333,2.7556,0.8604,0.8604,0.8604,0.8604,11.0,0,,
31,0.2,S,H,S,H,1.3333,2.6667,1.3333,2.6667,2.0444,1.9556,2.0444,1.9556,0.8561,0.8561,0.8561,0.8561,8.0,0,,
32,0.2,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7556,2.7556,2.7333,2.7556,0.8518,0.8518,0.8518,0.8518,11.0,0,,
33,0.2,H,H,S,H,2.3333,2.3333,0.0,2.3333,1.7111,1.7111,1.8667,1.7111,0.8475,0.8475,0.8475,0.8475,7.0,0,,
34,0.2,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.7556,2.7556,2.7556,2.7333,0.8433,0.8433,0.8433,0.8433,11.0,0,,
35,0.2,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.7556,2.7556,2.7556,2.7333,0.8391,0.8391,0.8391,0.8391,11.0,0,,
36,0.2,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7556,2.7556,2.7333,2.7556,0.8349,0.8349,0.8349,0.8349,11.0,0,,
37,0.2,H,H,S,S,2.6667,2.6667,1.3333,1.3333,1.9556,1.9556,2.0444,2.0444,0.8307,0.8307,0.8307,0.8307,8.0,0,,
38,0.2,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.7556,2.7333,2.7556,2.7556,0.8266,0.8266,0.8266,0.8266,11.0,0,,
39,0.2,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.7556,2.7556,2.7556,2.7333,0.8224,0.8224,0.8224,0.8224,11.0,0,,
40,0.2,H,S,H,H,2.3333,0.0,2.3333,2.3333,1.7111,1.8667,1.7111,1.7111,0.8183,0.8183,0.8183,0.8183,7.0,0,,
41,0.2,H,S,H,S,2.6667,1.3333,2.6667,1.3333,1.9556,2.0444,1.9556,2.0444,0.8142,0.8142,0.8142,0.8142,8.0,0,,
42,0.2,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.7333,2.7556,2.7556,2.7556,0.8102,0.8102,0.8102,0.8102,11.0,0,,
43,0.2,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.7556,2.7556,2.7333,2.7556,0.8061,0.8061,0.8061,0.8061,11.0,0,,
44,0.2,H,H,S,S,2.6667,2.6667,1.3333,1.3333,1.9556,1.9556,2.0444,2.0444,0.8021,0.8021,0.8021,0.8021,8.0,0,,
