step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,alpha_mean,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
0,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,S,S,S,S,4.0,4.0,4.0,4.0,16.0,1,1.0,0.0,,,,,,,,,
1,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,S,S,S,H,2.6667,2.6667,2.6667,3.0,11.0,0,0.75,0.020833,,,,,,,,,
2,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,S,S,H,S,2.6667,2.6667,3.0,2.6667,11.0,0,0.75,0.020833,,,,,,,,,
3,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,S,S,S,H,2.6667,2.6667,2.6667,3.0,11.0,0,0.75,0.020833,,,,,,,,,
4,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,H,H,S,S,2.6667,2.6667,1.3333,1.3333,8.0,0,0.5,0.444444,,,,,,,,,
5,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,S,S,S,H,2.6667,2.6667,2.6667,3.0,11.0,0,0.75,0.020833,,,,,,,,,
6,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,H,H,H,S,2.3333,2.3333,2.3333,0.0,7.0,0,0.25,1.020833,,,,,,,,,
7,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,S,S,H,H,1.3333,1.3333,2.6667,2.6667,8.0,0,0.5,0.444444,,,,,,,,,
8,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,S,H,S,H,1.3333,2.6667,1.3333,2.6667,8.0,0,0.5,0.444444,,,,,,,,,
9,sh_N4,matrix,4,learn_alpha,1.0,,team,0.2,0.8,0.5,0.8,0.575,H,H,S,H,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,,,,,,,
