step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha_mean,a1,a2,r1,r2,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
0,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
1,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
2,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
3,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
4,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
5,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
6,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
7,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
8,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
9,pd_N2,matrix,2,random,1.0,,,,,,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
10,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
11,pd_N2,matrix,2,random,1.0,,,,,,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
12,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
13,pd_N2,matrix,2,random,1.0,,,,,,C,D,0.0,5.0,5.0,0,0.5,6.25,,,,,,,,,
14,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
15,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
16,pd_N2,matrix,2,random,1.0,,,,,,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
17,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
18,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
19,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
20,pd_N2,matrix,2,random,1.0,,,,,,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
21,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
22,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
23,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
24,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
25,pd_N2,matrix,2,random,1.0,,,,,,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
26,pd_N2,matrix,2,random,1.0,,,,,,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
27,pd_N2,matrix,2,random,1.0,,,,,,C,D,0.0,5.0,5.0,0,0.5,6.25,,,,,,,,,
28,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
29,pd_N2,matrix,2,random,1.0,,,,,,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
30,pd_N2,matrix,2,random,1.0,,,,,,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
31,pd_N2,matrix,2,random,1.0,,,,,,C,D,0.0,5.0,5.0,0,0.5,6.25,,,,,,,,,
