episode,alpha_emp,N,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,0.8,2,C,C,3.0,3.0,3.0,3.0,0.995,0.995,6.0,1,,
2,0.8,2,C,D,0.0,5.0,1.0,4.0,0.99,0.99,5.0,0,,
3,0.8,2,C,C,3.0,3.0,3.0,3.0,0.9851,0.9851,6.0,1,,
4,0.8,2,C,D,0.0,5.0,1.0,4.0,0.9801,0.9801,5.0,0,,
5,0.8,2,C,D,0.0,5.0,1.0,4.0,0.9752,0.9752,5.0,0,,
6,0.8,2,C,D,0.0,5.0,1.0,4.0,0.9704,0.9704,5.0,0,,
7,0.8,2,C,C,3.0,3.0,3.0,3.0,0.9655,0.9655,6.0,1,,
8,0.8,2,D,C,5.0,0.0,4.0,1.0,0.9607,0.9607,5.0,0,,
9,0.8,2,D,C,5.0,0.0,4.0,1.0,0.9559,0.9559,5.0,0,,
10,0.8,2,C,D,0.0,5.0,1.0,4.0,0.9511,0.9511,5.0,0,,
11,0.8,2,C,D,0.0,5.0,1.0,4.0,0.9464,0.9464,5.0,0,,
12,0.8,2,D,D,1.0,1.0,1.0,1.0,0.9416,0.9416,2.0,0,,
13,0.8,2,C,D,0.0,5.0,1.0,4.0,0.9369,0.9369,5.0,0,,
14,0.8,2,C,C,3.0,3.0,3.0,3.0,0.9322,0.9322,6.0,1,,
15,0.8,2,D,C,5.0,0.0,4.0,1.0,0.9276,0.9276,5.0,0,,
16,0.8,2,D,D,1.0,1.0,1.0,1.0,0.9229,0.9229,2.0,0,,
17,0.8,2,C,C,3.0,3.0,3.0,3.0,0.9183,0.9183,6.0,1,,
18,0.8,2,C,C,3.0,3.0,3.0,3.0,0.9137,0.9137,6.0,1,,
19,0.8,2,D,D,1.0,1.0,1.0,1.0,0.9092,0.9092,2.0,0,,
20,0.8,2,D,D,1.0,1.0,1.0,1.0,0.9046,0.9046,2.0,0,,
21,0.8,2,D,D,1.0,1.0,1.0,1.0,0.9001,0.9001,2.0,0,,
22,0.8,2,C,D,0.0,5.0,1.0,4.0,0.8956,0.8956,5.0,0,,
23,0.8,2,C,C,3.0,3.0,3.0,3.0,0.8911,0.8911,6.0,1,,
24,0.8,2,C,C,3.0,3.0,3.0,3.0,0.8867,0.8867,6.0,1,,
25,0.8,2,C,D,0.0,5.0,1.0,4.0,0.8822,0.8822,5.0,0,,
26,0.8,2,D,C,5.0,0.0,4.0,1.0,0.8778,0.8778,5.0,0,,
27,0.8,2,D,C,5.0,0.0,4.0,1.0,0.8734,0.8734,5.0,0,,
28,0.8,2,D,D,1.0,1.0,1.0,1.0,0.8691,0.8691,2.0,0,,
29,0.8,2,D,D,1.0,1.0,1.0,1.0,0.8647,0.8647,2.0,0,,
30,0.8,2,C,C,3.0,3.0,3.0,3.0,0.8604,0.8604,6.0,1,,
31,0.8,2,C,D,0.0,5.0,1.0,4.0,0.8561,0.8561,5.0,0,,
32,0.8,2,C,C,3.0,3.0,3.0,3.0,0.8518,0.8518,6.0,1,,
33,0.8,2,D,C,5.0,0.0,4.0,1.0,0.8475,0.8475,5.0,0,,
34,0.8,2,C,D,0.0,5.0,1.0,4.0,0.8433,0.8433,5.0,0,,
35,0.8,2,C,D,0.0,5.0,1.0,4.0,0.8391,0.8391,5.0,0,,
36,0.8,2,C,D,0.0,5.0,1.0,4.0,0.8349,0.8349,5.0,0,,
37,0.8,2,D,C,5.0,0.0,4.0,1.0,0.8307,0.8307,5.0,0,,
38,0.8,2,C,C,3.0,3.0,3.0,3.0,0.8266,0.8266,6.0,1,,
39,0.8,2,D,D,1.0,1.0,1.0,1.0,0.8224,0.8224,2.0,0,,
40,0.8,2,D,C,5.0,0.0,4.0,1.0,0.8183,0.8183,5.0,0,,
41,0.8,2,D,D,1.0,1.0,1.0,1.0,0.8142,0.8142,2.0,0,,
42,0.8,2,C,D,0.0,5.0,1.0,4.0,0.8102,0.8102,5.0,0,,
43,0.8,2,D,D,1.0,1.0,1.0,1.0,0.8061,0.8061,2.0,0,,
44,0.8,2,D,D,1.0,1.0,1.0,1.0,0.8021,0.8021,2.0,0,,
45,0.8,2,C,C,3.0,3.0,3.0,3.0,0.7981,0.7981,6.0,1,,
46,0.8,2,C,C,3.0,3.0,3.0,3.0,0.7941,0.7941,6.0,1,,
47,0.8,2,C,D,0.0,5.0,1.0,4.0,0.7901,0.7901,5.0,0,,
48,0.8,2,C,D,0.0,5.0,1.0,4.0,0.7862,0.7862,5.0,0,,
49,0.8,2,C,D,0.0,5.0,1.0,4.0,0.7822,0.7822,5.0,0,,
50,0.8,2,C,D,0.0,5.0,1.0,4.0,0.7783,0.7783,5.0,0,,
51,0.8,2,D,C,5.0,0.0,4.0,1.0,0.7744,0.7744,5.0,0,,
52,0.8,2,D,C,5.0,0.0,4.0,1.0,0.7705,0.7705,5.0,0,,
