episode,alpha_emp,N,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.995,0.995,0.995,0.995,11.0,0,,
2,0.5,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.99,0.99,0.99,0.99,9.3333,0,,
3,0.5,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.9851,0.9851,0.9851,0.9851,12.0,1,,
4,0.5,4,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.9801,0.9801,0.9801,0.9801,11.0,0,,
5,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.9752,0.9752,0.9752,0.9752,9.3333,0,,
6,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.9704,0.9704,0.9704,0.9704,9.3333,0,,
7,0.5,4,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.9655,0.9655,0.9655,0.9655,11.0,0,,
8,0.5,4,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.9607,0.9607,0.9607,0.9607,9.3333,0,,
9,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.9559,0.9559,0.9559,0.9559,9.3333,0,,
10,0.5,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.9511,0.9511,0.9511,0.9511,9.3333,0,,
11,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.9464,0.9464,0.9464,0.9464,9.3333,0,,
12,0.5,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.9416,0.9416,0.9416,0.9416,7.0,0,,
13,0.5,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.9369,0.9369,0.9369,0.9369,7.0,0,,
14,0.5,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.9322,0.9322,0.9322,0.9322,7.0,0,,
15,0.5,4,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.9276,0.9276,0.9276,0.9276,9.3333,0,,
16,0.5,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.9229,0.9229,0.9229,0.9229,7.0,0,,
17,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.9183,0.9183,0.9183,0.9183,11.0,0,,
18,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.9137,0.9137,0.9137,0.9137,11.0,0,,
19,0.5,4,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.9092,0.9092,0.9092,0.9092,11.0,0,,
20,0.5,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9046,0.9046,0.9046,0.9046,4.0,0,,
21,0.5,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9001,0.9001,0.9001,0.9001,4.0,0,,
22,0.5,4,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.8956,0.8956,0.8956,0.8956,11.0,0,,
23,0.5,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.8911,0.8911,0.8911,0.8911,9.3333,0,,
24,0.5,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.8867,0.8867,0.8867,0.8867,9.3333,0,,
25,0.5,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.8822,0.8822,0.8822,0.8822,9.3333,0,,
26,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.8778,0.8778,0.8778,0.8778,9.3333,0,,
27,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.8734,0.8734,0.8734,0.8734,9.3333,0,,
28,0.5,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.8691,0.8691,0.8691,0.8691,7.0,0,,
29,0.5,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8647,0.8647,0.8647,0.8647,4.0,0,,
30,0.5,4,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.8604,0.8604,0.8604,0.8604,11.0,0,,
31,0.5,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.8561,0.8561,0.8561,0.8561,7.0,0,,
32,0.5,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.8518,0.8518,0.8518,0.8518,12.0,1,,
33,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.8475,0.8475,0.8475,0.8475,9.3333,0,,
34,0.5,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.8433,0.8433,0.8433,0.8433,9.3333,0,,
35,0.5,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.8391,0.8391,0.8391,0.8391,7.0,0,,
36,0.5,4,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.8349,0.8349,0.8349,0.8349,11.0,0,,
37,0.5,4,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.8307,0.8307,0.8307,0.8307,9.3333,0,,
38,0.5,4,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.8266,0.8266,0.8266,0.8266,11.0,0,,
39,0.5,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8224,0.8224,0.8224,0.8224,4.0,0,,
40,0.5,4,D,C,C,C,5.0,2.0,2.0,2.0,3.5,2.5,2.5,2.5,0.8183,0.8183,0.8183,0.8183,11.0,0,,
41,0.5,4,D,D,C,C,3.6667,3.6667,1.0,1.0,2.7778,2.7778,1.8889,1.8889,0.8142,0.8142,0.8142,0.8142,9.3333,0,,
42,0.5,4,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.8102,0.8102,0.8102,0.8102,11.0,0,,
43,0.5,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.8061,0.8061,0.8061,0.8061,7.0,0,,
44,0.5,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8021,0.8021,0.8021,0.8021,4.0,0,,
45,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7981,0.7981,0.7981,0.7981,11.0,0,,
46,0.5,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.7941,0.7941,0.7941,0.7941,9.3333,0,,
47,0.5,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7901,0.7901,0.7901,0.7901,7.0,0,,
48,0.5,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7862,0.7862,0.7862,0.7862,7.0,0,,
49,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7822,0.7822,0.7822,0.7822,9.3333,0,,
50,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7783,0.7783,0.7783,0.7783,9.3333,0,,
51,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7744,0.7744,0.7744,0.7744,9.3333,0,,
52,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7705,0.7705,0.7705,0.7705,9.3333,0,,
53,0.5,4,C,D,C,C,2.0,5.0,2.0,2.0,2.5,3.5,2.5,2.5,0.7667,0.7667,0.7667,0.7667,11.0,0,,
54,0.5,4,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.7629,0.7629,0.7629,0.7629,11.0,0,,
55,0.5,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.759,0.759,0.759,0.759,7.0,0,,
56,0.5,4,C,C,D,C,2.0,2.0,5.0,2.0,2.5,2.5,3.5,2.5,0.7553,0.7553,0.7553,0.7553,11.0,0,,
57,0.5,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.7515,0.7515,0.7515,0.7515,7.0,0,,
58,0.5,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.7477,0.7477,0.7477,0.7477,12.0,1,,
59,0.5,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.9444,1.9444,1.9444,1.1667,0.744,0.744,0.744,0.744,7.0,0,,
60,0.5,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.7403,0.7403,0.7403,0.7403,7.0,0,,
61,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7366,0.7366,0.7366,0.7366,11.0,0,,
62,0.5,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7329,0.7329,0.7329,0.7329,7.0,0,,
63,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7292,0.7292,0.7292,0.7292,9.3333,0,,
64,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.7256,0.7256,0.7256,0.7256,9.3333,0,,
65,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7219,0.7219,0.7219,0.7219,11.0,0,,
66,0.5,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.9444,1.1667,1.9444,1.9444,0.7183,0.7183,0.7183,0.7183,7.0,0,,
67,0.5,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.7147,0.7147,0.7147,0.7147,7.0,0,,
68,0.5,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.1667,1.9444,1.9444,1.9444,0.7112,0.7112,0.7112,0.7112,7.0,0,,
69,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.7076,0.7076,0.7076,0.7076,11.0,0,,
70,0.5,4,C,D,C,D,1.0,3.6667,1.0,3.6667,1.8889,2.7778,1.8889,2.7778,0.7041,0.7041,0.7041,0.7041,9.3333,0,,
71,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.7005,0.7005,0.7005,0.7005,9.3333,0,,
72,0.5,4,D,C,C,C,5.0,2.0,2.0,2.0,3.5,2.5,2.5,2.5,0.697,0.697,0.697,0.697,11.0,0,,
73,0.5,4,D,C,C,C,5.0,2.0,2.0,2.0,3.5,2.5,2.5,2.5,0.6936,0.6936,0.6936,0.6936,11.0,0,,
74,0.5,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.7778,1.8889,1.8889,2.7778,0.6901,0.6901,0.6901,0.6901,9.3333,0,,
75,0.5,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.9444,1.9444,1.1667,1.9444,0.6866,0.6866,0.6866,0.6866,7.0,0,,
76,0.5,4,C,C,C,D,2.0,2.0,2.0,5.0,2.5,2.5,2.5,3.5,0.6832,0.6832,0.6832,0.6832,11.0,0,,
77,0.5,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.8889,2.7778,2.7778,1.8889,0.6798,0.6798,0.6798,0.6798,9.3333,0,,
78,0.5,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.8889,1.8889,2.7778,2.7778,0.6764,0.6764,0.6764,0.6764,9.3333,0,,
79,0.5,4,D,C,D,C,3.6667,1.0,3.6667,1.0,2.7778,1.8889,2.7778,1.8889,0.673,0.673,0.673,0.673,9.3333,0,,
