episode,alpha_emp,N,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,0.2,4,C,C,C,D,2.0,2.0,2.0,5.0,2.8,2.8,2.8,2.6,0.995,0.995,0.995,0.995,11.0,0,,
2,0.2,4,C,D,C,D,1.0,3.6667,1.0,3.6667,2.4222,2.2444,2.4222,2.2444,0.99,0.99,0.99,0.99,9.3333,0,,
3,0.2,4,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.9851,0.9851,0.9851,0.9851,12.0,1,,
4,0.2,4,C,D,C,C,2.0,5.0,2.0,2.0,2.8,2.6,2.8,2.8,0.9801,0.9801,0.9801,0.9801,11.0,0,,
5,0.2,4,C,D,D,C,1.0,3.6667,3.6667,1.0,2.4222,2.2444,2.2444,2.4222,0.9752,0.9752,0.9752,0.9752,9.3333,0,,
6,0.2,4,C,D,D,C,1.0,3.6667,3.6667,1.0,2.4222,2.2444,2.2444,2.4222,0.9704,0.9704,0.9704,0.9704,9.3333,0,,
7,0.2,4,C,C,D,C,2.0,2.0,5.0,2.0,2.8,2.8,2.6,2.8,0.9655,0.9655,0.9655,0.9655,11.0,0,,
8,0.2,4,D,C,D,C,3.6667,1.0,3.6667,1.0,2.2444,2.4222,2.2444,2.4222,0.9607,0.9607,0.9607,0.9607,9.3333,0,,
9,0.2,4,D,C,C,D,3.6667,1.0,1.0,3.6667,2.2444,2.4222,2.4222,2.2444,0.9559,0.9559,0.9559,0.9559,9.3333,0,,
10,0.2,4,C,D,C,D,1.0,3.6667,1.0,3.6667,2.4222,2.2444,2.4222,2.2444,0.9511,0.9511,0.9511,0.9511,9.3333,0,,
11,0.2,4,C,D,D,C,1.0,3.6667,3.6667,1.0,2.4222,2.2444,2.2444,2.4222,0.9464,0.9464,0.9464,0.9464,9.3333,0,,
12,0.2,4,D,D,D,C,2.3333,2.3333,2.3333,0.0,1.7111,1.7111,1.7111,1.8667,0.9416,0.9416,0.9416,0.9416,7.0,0,,
13,0.2,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,1.8667,1.7111,1.7111,1.7111,0.9369,0.9369,0.9369,0.9369,7.0,0,,
14,0.2,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,1.7111,1.8667,1.7111,1.7111,0.9322,0.9322,0.9322,0.9322,7.0,0,,
15,0.2,4,D,C,D,C,3.6667,1.0,3.6667,1.0,2.2444,2.4222,2.2444,2.4222,0.9276,0.9276,0.9276,0.9276,9.3333,0,,
16,0.2,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,1.7111,1.7111,1.8667,1.7111,0.9229,0.9229,0.9229,0.9229,7.0,0,,
17,0.2,4,C,C,C,D,2.0,2.0,2.0,5.0,2.8,2.8,2.8,2.6,0.9183,0.9183,0.9183,0.9183,11.0,0,,
18,0.2,4,C,C,C,D,2.0,2.0,2.0,5.0,2.8,2.8,2.8,2.6,0.9137,0.9137,0.9137,0.9137,11.0,0,,
19,0.2,4,C,C,D,C,2.0,2.0,5.0,2.0,2.8,2.8,2.6,2.8,0.9092,0.9092,0.9092,0.9092,11.0,0,,
20,0.2,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9046,0.9046,0.9046,0.9046,4.0,0,,
21,0.2,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9001,0.9001,0.9001,0.9001,4.0,0,,
