step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
1,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.995,0.995,"('C', 'C')",6.0,1,,,,
2,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.99,0.99,"('C', 'D')",5.0,0,,,,
3,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.9851,0.9851,"('C', 'C')",6.0,1,,,,
4,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.9801,0.9801,"('C', 'D')",5.0,0,,,,
5,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.9752,0.9752,"('C', 'D')",5.0,0,,,,
6,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.9704,0.9704,"('C', 'D')",5.0,0,,,,
7,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.9655,0.9655,"('C', 'C')",6.0,1,,,,
8,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.9607,0.9607,"('D', 'C')",5.0,0,,,,
9,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.9559,0.9559,"('D', 'C')",5.0,0,,,,
10,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.9511,0.9511,"('C', 'D')",5.0,0,,,,
11,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.9464,0.9464,"('C', 'D')",5.0,0,,,,
12,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.9416,0.9416,"('D', 'D')",2.0,0,,,,
13,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.9369,0.9369,"('C', 'D')",5.0,0,,,,
14,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.9322,0.9322,"('C', 'C')",6.0,1,,,,
15,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.9276,0.9276,"('D', 'C')",5.0,0,,,,
16,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.9229,0.9229,"('D', 'D')",2.0,0,,,,
17,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.9183,0.9183,"('C', 'C')",6.0,1,,,,
18,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.9137,0.9137,"('C', 'C')",6.0,1,,,,
19,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.9092,0.9092,"('C', 'C')",6.0,1,,,,
20,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.9046,0.9046,"('D', 'D')",2.0,0,,,,
21,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.9001,0.9001,"('D', 'D')",2.0,0,,,,
22,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.8956,0.8956,"('C', 'D')",5.0,0,,,,
