step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha_mean,a1,a2,r1,r2,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
0,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
1,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
2,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,C,D,0.0,5.0,5.0,0,0.5,6.25,,,,,,,,,
3,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
4,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,C,D,0.0,5.0,5.0,0,0.5,6.25,,,,,,,,,
5,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,C,C,3.0,3.0,6.0,1,1.0,0.0,,,,,,,,,
6,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,C,D,0.0,5.0,5.0,0,0.5,6.25,,,,,,,,,
7,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,D,C,5.0,0.0,5.0,0,0.5,6.25,,,,,,,,,
8,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,D,D,1.0,1.0,2.0,0,0.0,0.0,,,,,,,,,
9,pd_N2,matrix,2,hetero_fixed,1.0,sampled_0.00_0.80,,0.0,0.8,0.4,C,D,0.0,5.0,5.0,0,0.5,6.25,,,,,,,,,
